Year,Month,Day,1hour,12hour,24hour,truth
2024,142,19,153215.890625,146024.5,140797.203125,156596.9
2024,142,20,151946.03125,145419.703125,139725.078125,155183.40000000002
2024,142,21,150166.09375,145552.21875,139313.53125,152975.59999999998
2024,142,22,149041.09375,145593.6875,140136.6875,150718.90000000002
2024,142,23,150590.1875,146700.03125,142071.75,150603.9
2024,143,0,153701.8125,148623.96875,145161.078125,152233.7
2024,143,1,158018.375,150995.25,149024.25,155523.3
2024,143,2,162197.25,154203.21875,153422.75,159064.7
2024,143,3,164856.53125,158023.78125,158060.09375,161732.8
2024,143,4,167363.578125,161767.75,161562.84375,164572.09999999998
2024,143,5,170467.34375,164244.8125,164253.34375,168099.3
2024,143,6,169758.34375,165004.609375,164882.015625,168883.09999999998
2024,143,7,168348.75,164473.21875,163978.65625,168565.8
2024,143,8,167228.5625,163047.890625,162282.3125,167997.60000000003
2024,143,9,164095.25,160650.375,159585.78125,166157.5
2024,143,10,160392.578125,157509.375,155524.5625,163271.2
2024,143,11,156859.71875,154223.359375,153163.15625,160133.0
2024,143,12,153929.1875,151769.578125,151498.078125,157107.80000000002
2024,143,13,151643.921875,150672.25,149553.09375,154246.1
2024,143,14,150055.390625,149828.78125,148054.734375,152054.8
2024,143,15,148913.125,148506.1875,146431.84375,150541.0
2024,143,16,148697.640625,147596.34375,144878.9375,149864.0
2024,143,17,149214.90625,146696.25,144129.03125,149796.9
2024,143,18,149808.921875,146186.65625,143986.546875,149983.09999999998
2024,143,19,150496.28125,145856.71875,143637.890625,150426.40000000002
2024,143,20,150637.34375,145282.796875,143154.953125,150578.6
2024,143,21,150842.84375,144880.1875,142642.21875,150328.8
2024,143,22,151634.6875,145103.796875,143073.78125,150178.0
2024,143,23,153302.609375,146403.0625,144980.375,150773.8
2024,144,0,155140.5625,148576.4375,148198.34375,151783.7
2024,144,1,158758.21875,151378.90625,152263.125,154526.90000000002
2024,144,2,162751.15625,154217.171875,156063.03125,158162.3
2024,144,3,166122.09375,157029.21875,159406.953125,161990.3
2024,144,4,169865.6875,159180.875,162647.46875,166590.90000000002
2024,144,5,171759.125,160238.328125,163856.5,170106.90000000002
2024,144,6,172615.421875,160642.546875,163518.90625,172740.89999999997
2024,144,7,170771.140625,160101.703125,162191.515625,173247.3
2024,144,8,169230.421875,158331.296875,160082.484375,172920.2
2024,144,9,166187.40625,155637.421875,157195.59375,171281.5
2024,144,10,162729.9375,152341.59375,154756.34375,169229.0
2024,144,11,159110.453125,148836.296875,151747.21875,166081.59999999998
2024,144,12,155385.390625,145837.59375,148376.09375,161861.0
2024,144,13,152588.34375,143340.71875,145400.765625,158131.6
2024,144,14,153173.0,141694.5,142681.53125,157391.2
2024,144,15,153668.515625,140510.0625,140443.265625,157674.3
2024,144,16,153497.96875,139362.796875,139228.390625,157981.5
2024,144,17,151535.53125,138776.03125,139218.71875,156815.2
2024,144,18,148916.5625,138783.109375,139956.484375,154129.5
2024,144,19,145511.9375,139272.4375,140636.46875,150329.3
2024,144,20,142945.984375,139704.1875,141367.03125,147111.59999999998
